name,star,teraType,mark,r1_start,r1_end,r2_start,r2_end,met_date
Cinderace,7,Fighting,Unrivaled,"2022/12/30 00:00 UTC","2023/01/01 23:59 UTC","2023/01/13 00:00 UTC","2023/01/15 23:59 UTC","2022/12/30 00:00 UTC"
Greninja,7,Poison,Unrivaled,"2023/01/27 00:00 UTC","2023/01/29 23:59 UTC","2023/02/10 00:00 UTC","2023/02/12 23:59 UTC","2023/01/27 00:00 UTC"
Samurott,7,Bug,Unrivaled,"2023/03/31 00:00 UTC","2023/04/02 23:59 UTC","2023/04/07 00:00 UTC","2023/04/09 23:59 UTC","2023/03/31 00:00 UTC"
Typhlosion,7,Ghost,Unrivaled,"2023/04/14 00:00 UTC","2023/04/16 23:59 UTC","2023/04/21 00:00 UTC","2023/04/23 23:59 UTC","2023/04/14 00:00 UTC"
Decidueye,7,Flying,Unrivaled,"2023/04/28 00:00 UTC","2023/04/30 23:59 UTC","2023/05/05 00:00 UTC","2023/05/07 23:59 UTC","2023/04/28 00:00 UTC"
Delphox,7,Fairy,Unrivaled,"2023/07/07 00:00 UTC","2023/07/09 23:59 UTC","2023/07/14 00:00 UTC","2023/07/16 23:59 UTC","2023/07/07 00:00 UTC"
Rillaboom,7,Ground,Unrivaled,"2023/07/28 00:00 UTC","2023/07/30 23:59 UTC","2023/08/04 00:00 UTC","2023/08/06 23:59 UTC","2023/07/28 00:00 UTC"
Inteleon,7,Ice,Unrivaled,"2023/07/28 00:00 UTC","2023/07/30 23:59 UTC","2023/08/04 00:00 UTC","2023/08/06 23:59 UTC","2023/07/28 00:00 UTC"
Hisuian Typhlosion,7,Fire,Unrivaled,"2023/10/13 00:00 UTC","2023/10/15 23:59 UTC","2023/10/20 00:00 UTC","2023/10/22 23:59 UTC","2023/10/13 00:00 UTC"
Eevee,7,Normal,Unrivaled,"2023/11/17 00:00 UTC","2023/11/20 23:59 UTC",,,,"2023/11/17 00:00 UTC"
Blaziken,7,Flying,Unrivaled,"2024/01/12 00:00 UTC","2024/01/14 23:59 UTC","2024/01/19 00:00 UTC","2024/01/21 23:59 UTC","2024/01/12 00:00 UTC"
Empoleon,7,Ice,Unrivaled,"2024/02/02 00:00 UTC","2024/02/04 23:59 UTC","2024/02/09 00:00 UTC","2024/02/11 23:59 UTC","2024/02/02 00:00 UTC"
Sceptile,7,Ground,Unrivaled,"2024/02/28 00:00 UTC","2024/03/05 00:00 UTC",,,,"2024/02/28 00:00 UTC"
Charizard,7,Dragon,Unrivaled,"2024/03/15 00:00 UTC","2024/03/17 23:59 UTC","2024/03/22 00:00 UTC","2024/03/24 23:59 UTC","2024/03/15 00:00 UTC"
Meganium,7,Psychic,Unrivaled,"2024/04/05 00:00 UTC","2024/04/07 23:59 UTC","2024/04/12 00:00 UTC","2024/04/14 23:59 UTC","2024/04/05 00:00 UTC"
Infernape,7,Rock,Unrivaled,"2024/05/10 00:00 UTC","2024/05/12 23:59 UTC","2024/05/17 00:00 UTC","2024/05/19 23:59 UTC","2024/05/10 00:00 UTC"
Chesnaught,7,Rock,Unrivaled,"2024/07/26 00:00 UTC","2024/07/28 23:59 UTC","2024/08/02 00:00 UTC","2024/08/04 23:59 UTC","2024/07/26 00:00 UTC"
Dragonite,7,Normal,Unrivaled,"2024/08/23 00:00 UTC","2024/09/01 23:59 UTC",,,,"2024/08/23 00:00 UTC"
Serperior,7,Grass,Unrivaled,"2024/09/20 00:00 UTC","2024/09/22 23:59 UTC","2024/09/27 00:00 UTC","2024/09/29 23:59 UTC","2024/09/20 00:00 UTC"
Incineroar,7,Electric,Unrivaled,"2024/10/18 00:00 UTC","2024/10/20 23:59 UTC","2024/10/25 00:00 UTC","2024/10/27 23:59 UTC","2024/10/18 00:00 UTC"
Feraligatr,7,Dark,Unrivaled,"2024/11/01 00:00 UTC","2024/11/03 23:59 UTC","2024/11/08 00:00 UTC","2024/11/10 23:59 UTC","2024/11/01 00:00 UTC"
Torterra,7,Ground,Unrivaled,"2024/11/15 00:00 UTC","2024/11/17 23:59 UTC","2024/11/22 00:00 UTC","2024/11/24 23:59 UTC","2024/11/15 00:00 UTC"
Meowscarada,7,Grass,Unrivaled,"2025/02/28 00:00 UTC","2025/03/06 23:59 UTC",,,,"2025/02/28 00:00 UTC"
Skeledirge,7,Fire,Unrivaled,"2025/03/07 00:00 UTC","2025/03/13 23:59 UTC",,,,"2025/03/07 00:00 UTC"
Quaquaval,7,Water,Unrivaled,"2025/03/14 00:00 UTC","2025/03/20 23:59 UTC",,,,"2025/03/14 00:00 UTC"
Tyranitar,7,Ghost,Unrivaled,"2025/03/28 00:00 UTC","2025/03/30 23:59 UTC","2025/04/04 00:00 UTC","2025/04/06 23:59 UTC","2025/03/28 00:00 UTC"
Salamence,7,Flying,Unrivaled,"2025/04/18 00:00 UTC","2025/04/20 23:59 UTC","2025/04/25 00:00 UTC","2025/04/27 23:59 UTC","2025/04/18 00:00 UTC"
Metagross,7,Steel,Unrivaled,"2025/05/09 00:00 UTC","2025/05/11 23:59 UTC","2025/05/16 00:00 UTC","2025/05/18 23:59 UTC","2025/05/09 00:00 UTC"
Garchomp,7,Ground,Unrivaled,"2025/05/23 00:00 UTC","2025/05/25 23:59 UTC","2025/05/30 00:00 UTC","2025/06/01 23:59 UTC","2025/05/23 00:00 UTC"
Baxcalibur,7,Ice,Unrivaled,"2025/06/20 00:00 UTC","2025/06/22 23:59 UTC","2025/06/27 00:00 UTC","2025/06/29 23:59 UTC","2025/06/20 00:00 UTC"
Kommo-o,7,Fighting,Unrivaled,"2025/07/11 00:00 UTC","2025/07/13 23:59 UTC","2025/07/18 00:00 UTC","2025/07/20 23:59 UTC","2025/07/11 00:00 UTC"
Hydreigon,7,Poison,Unrivaled,"2025/11/07 00:00 UTC","2025/11/09 23:59 UTC","2025/11/14 00:00 UTC","2025/11/16 23:59 UTC","2025/11/07 00:00 UTC"
