name,star,teraType,mark,startDate,endDate,notes
Hydreigon,7,Poison,Unrivaled,2025-11-07,2025-11-09,
Hydreigon,7,Poison,Unrivaled,2025-11-14,2025-11-16,
Kommo-o,7,Fighting,Unrivaled,2025-07-11,2025-07-13,
Kommo-o,7,Fighting,Unrivaled,2025-07-18,2025-07-20,
Baxcalibur,7,Ice,Unrivaled,2025-06-20,2025-06-22,
Baxcalibur,7,Ice,Unrivaled,2025-06-27,2025-06-29,
Garchomp,7,Ground,Unrivaled,2025-05-23,2025-05-25,
Garchomp,7,Ground,Unrivaled,2025-05-30,2025-06-01,
Metagross,7,Steel,Unrivaled,2025-05-09,2025-05-11,
Metagross,7,Steel,Unrivaled,2025-05-16,2025-05-18,
Salamence,7,Flying,Unrivaled,2025-04-18,2025-04-20,
Salamence,7,Flying,Unrivaled,2025-04-25,2025-04-27,
Tyranitar,7,Ghost,Unrivaled,2025-03-28,2025-03-30,
Tyranitar,7,Ghost,Unrivaled,2025-04-04,2025-04-06,
Dragonite,7,Normal,Unrivaled,2024-08-23,2024-09-01,
Quaquaval,7,Water,Unrivaled,2025-03-14,2025-03-20,
Skeledirge,7,Fire,Unrivaled,2025-03-07,2025-03-13,
Meowscarada,7,Grass,Unrivaled,2025-02-28,2025-03-06,
Torterra,7,Ground,Unrivaled,2024-11-15,2024-11-17,
Torterra,7,Ground,Unrivaled,2024-11-22,2024-11-24,
Feraligatr,7,Dark,Unrivaled,2024-11-01,2024-11-03,
Feraligatr,7,Dark,Unrivaled,2024-11-08,2024-11-10,
...
name,star,teraType,mark,startDate,endDate,notes
Hydreigon,7,Poison,Unrivaled,"2025/11/07 00:00 UTC","2025/11/16 23:59 UTC","Round 1: 2025/11/07 00:00 UTC ~ 2025/11/09 23:59 UTC, Round 2: 2025/11/14 00:00 UTC ~ 2025/11/16 23:59 UTC [cite: 594, 595]"
Kommo-o,7,Fighting,Unrivaled,"2025/07/11 00:00 UTC","2025/07/20 23:59 UTC","Round 1: 2025/07/11 00:00 UTC ~ 2025/07/13 23:59 UTC, Round 2: 2025/07/18 00:00 UTC ~ 2025/07/20 23:59 UTC [cite: 596, 597]"
Baxcalibur,7,Ice,Unrivaled,"2025/06/20 00:00 UTC","2025/06/29 23:59 UTC","Round 1: 2025/06/20 00:00 UTC ~ 2025/06/22 23:59 UTC, Round 2: 2025/06/27 00:00 UTC ~ 2025/06/29 23:59 UTC [cite: 598, 599]"
Garchomp,7,Ground,Unrivaled,"2025/05/23 00:00 UTC","2025/06/01 23:59 UTC","Round 1: 2025/05/23 00:00 UTC ~ 2025/05/25 23:59 UTC, Round 2: 2025/05/30 00:00 UTC ~ 2025/06/01 23:59 UTC [cite: 600, 601]"
Metagross,7,Steel,Unrivaled,"2025/05/09 00:00 UTC","2025/05/18 23:59 UTC","Round 1: 2025/05/09 00:00 UTC ~ 2025/05/11 23:59 UTC, Round 2: 2025/05/16 00:00 UTC ~ 2025/05/18 23:59 UTC [cite: 602, 603]"
Salamence,7,Flying,Unrivaled,"2025/04/18 00:00 UTC","2025/04/27 23:59 UTC","Round 1: 2025/04/18 00:00 UTC ~ 2025/04/20 23:59 UTC, Round 2: 2025/04/25 00:00 UTC ~ 2025/04/27 23:59 UTC [cite: 604, 605]"
Tyranitar,7,Ghost,Unrivaled,"2025/03/28 00:00 UTC","2025/04/06 23:59 UTC","Round 1: 2025/03/28 00:00 UTC ~ 2025/03/30 23:59 UTC, Round 2: 2025/04/04 00:00 UTC ~ 2025/04/06 23:59 UTC [cite: 606, 607]"
Dragonite,7,Normal,Unrivaled,"2024/08/23 00:00 UTC","2024/09/01 23:59 UTC","Single-round event: 2024/08/23 00:00 UTC ~ 2024/09/01 23:59 UTC [cite: 608, 609]"
Quaquaval,7,Water,Unrivaled,"2025/03/14 00:00 UTC","2025/03/20 23:59 UTC","Single-round event: 2025/03/14 00:00 UTC ~ 2025/03/20 23:59 UTC [cite: 610, 611]"
Skeledirge,7,Fire,Unrivaled,"2025/03/07 00:00 UTC","2025/03/13 23:59 UTC","Single-round event: 2025/03/07 00:00 UTC ~ 2025/03/13 23:59 UTC [cite: 612, 613]"
Meowscarada,7,Grass,Unrivaled,"2025/02/28 00:00 UTC","2025/03/06 23:59 UTC","Single-round event: 2025/02/28 00:00 UTC ~ 2025/03/06 23:59 UTC [cite: 614, 615]"
Torterra,7,Ground,Unrivaled,"2024/11/15 00:00 UTC","2024/11/24 23:59 UTC","Round 1: 2024/11/15 00:00 UTC ~ 2024/11/17 23:59 UTC, Round 2: 2024/11/22 00:00 UTC ~ 2024/11/24 23:59 UTC [cite: 616, 617]"
Feraligatr,7,Dark,Unrivaled,"2024/11/01 00:00 UTC","2024/11/10 23:59 UTC","Round 1: 2024/11/01 00:00 UTC ~ 2024/11/03 23:59 UTC, Round 2: 2024/11/08 00:00 UTC ~ 2024/11/10 23:59 UTC [cite: 618, 619]"
Infernape,7,Fairy,Unrivaled,"2024/10/25 00:00 UTC","2024/11/03 23:59 UTC","Round 1: 2024/10/25 00:00 UTC ~ 2024/10/27 23:59 UTC, Round 2: 2024/11/01 00:00 UTC ~ 2024/11/03 23:59 UTC [cite: 620]"
